date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2018-07-03,2.251,2018-05-31,2018-06-08,25,True,False
2018-07-05,2.251,2018-05-31,2018-06-08,27,True,False
2018-07-06,1.984,2018-06-30,2018-07-06,0,True,False
2018-07-09,1.984,2018-06-30,2018-07-06,3,True,False
2018-07-10,1.984,2018-06-30,2018-07-06,4,True,False
2018-07-11,1.984,2018-06-30,2018-07-06,5,True,False
2018-07-12,1.984,2018-06-30,2018-07-06,6,True,False
2018-07-13,1.984,2018-06-30,2018-07-06,7,True,False
2018-07-16,1.984,2018-06-30,2018-07-06,10,True,False
2018-07-17,1.984,2018-06-30,2018-07-06,11,True,False
2018-07-18,1.984,2018-06-30,2018-07-06,12,True,False
2018-07-19,1.984,2018-06-30,2018-07-06,13,True,False
2018-07-20,1.984,2018-06-30,2018-07-06,14,True,False
2018-07-23,1.984,2018-06-30,2018-07-06,17,True,False
2018-07-24,1.984,2018-06-30,2018-07-06,18,True,False
2018-07-25,1.984,2018-06-30,2018-07-06,19,True,False
2018-07-26,1.984,2018-06-30,2018-07-06,20,True,False
2018-07-27,1.984,2018-06-30,2018-07-06,21,True,False
2018-07-30,1.984,2018-06-30,2018-07-06,24,True,False
2018-07-31,1.984,2018-06-30,2018-07-06,25,True,False
2018-08-01,1.984,2018-06-30,2018-07-06,26,True,False
2018-08-02,1.984,2018-06-30,2018-07-06,27,True,False
2018-08-03,1.984,2018-06-30,2018-07-06,28,True,False
2018-08-06,1.984,2018-06-30,2018-07-06,31,True,False
2018-08-07,1.462,2018-07-31,2018-08-07,0,True,False
2018-08-08,1.462,2018-07-31,2018-08-07,1,True,False
2018-08-09,1.462,2018-07-31,2018-08-07,2,True,False
2018-08-10,1.462,2018-07-31,2018-08-07,3,True,False
2018-08-13,1.462,2018-07-31,2018-08-07,6,True,False
2018-08-14,1.462,2018-07-31,2018-08-07,7,True,False
2018-08-15,1.462,2018-07-31,2018-08-07,8,True,False
2018-08-16,1.462,2018-07-31,2018-08-07,9,True,False
2018-08-17,1.462,2018-07-31,2018-08-07,10,True,False
2018-08-20,1.462,2018-07-31,2018-08-07,13,True,False
2018-08-21,1.462,2018-07-31,2018-08-07,14,True,False
2018-08-22,1.462,2018-07-31,2018-08-07,15,True,False
2018-08-23,1.462,2018-07-31,2018-08-07,16,True,False
2018-08-24,1.462,2018-07-31,2018-08-07,17,True,False
2018-08-27,1.462,2018-07-31,2018-08-07,20,True,False
2018-08-28,1.462,2018-07-31,2018-08-07,21,True,False
2018-08-29,1.462,2018-07-31,2018-08-07,22,True,False
2018-08-30,1.462,2018-07-31,2018-08-07,23,True,False
2018-08-31,1.462,2018-07-31,2018-08-07,24,True,False
2018-09-04,1.462,2018-07-31,2018-08-07,28,True,False
2018-09-05,1.462,2018-07-31,2018-08-07,29,True,False
2018-09-06,1.462,2018-07-31,2018-08-07,30,True,False
2018-09-07,1.775,2018-08-31,2018-09-07,0,True,False
2018-09-10,1.775,2018-08-31,2018-09-07,3,True,False
2018-09-11,1.775,2018-08-31,2018-09-07,4,True,False
2018-09-12,1.775,2018-08-31,2018-09-07,5,True,False
2018-09-13,1.775,2018-08-31,2018-09-07,6,True,False
2018-09-14,1.775,2018-08-31,2018-09-07,7,True,False
2018-09-17,1.775,2018-08-31,2018-09-07,10,True,False
2018-09-18,1.775,2018-08-31,2018-09-07,11,True,False
2018-09-19,1.775,2018-08-31,2018-09-07,12,True,False
