permit_id,facility_name,outfall,unit,unit_class,basis,value_type,date,value_raw,value_num,qualifier,nodi_code,nodi_desc,version,received_date
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-04-30,.09,0.09,=,,,4,2020-05-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-07-31,.09,0.09,=,,,4,2020-08-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-08-31,.09,0.09,=,,,4,2020-09-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-11-30,.09,0.09,=,,,4,2020-12-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2020-12-31,.09,0.09,=,,,4,2021-01-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-01-31,.09,0.09,=,,,4,2021-02-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-03-31,.09,0.09,=,,,4,2021-04-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-04-30,.09,0.09,=,,,4,2021-05-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-05-31,.09,0.09,=,,,4,2021-06-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-06-30,.09,0.09,=,,,5,2021-07-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-07-31,.09,0.09,=,,,5,2021-08-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-08-31,.09,0.09,=,,,5,2021-09-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-09-30,.09,0.09,=,,,5,2021-10-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-10-31,.09,0.09,=,,,5,2021-11-08
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-11-30,.09,0.09,=,,,5,2021-12-13
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2021-12-31,.09,0.09,=,,,5,2022-01-11
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2022-03-31,.09,0.09,=,,,5,2022-04-15
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2022-04-30,.09,0.09,=,,,5,2022-05-12
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2022-05-31,.09,0.09,=,,,5,2022-06-10
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2022-06-30,.09,0.09,=,,,5,2022-07-14
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2022-08-31,.09,0.09,=,,,5,2022-09-01
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,007,MGD,MGD,MO AVG,Q1,2023-03-31,.09,0.09,=,,,5,2023-04-13
