month,avc040_present,format,days_present,days_by_dir,missing_dates,records,directions,lanes,units,dup_keys_file,dup_keys_station,lane0_coexist_groups_file,station_lane0_rows,zero_hours,min_hourly_veh,max_hourly_veh,dst_date,dst_overlap,source_quality
2017-09,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,5,384,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_sep2017_quality.json
2017-10,True,fixed_legacy,14,3:14;7:14,2017-10-15;2017-10-16;2017-10-17;2017-10-18;2017-10-19;2017-10-20;2017-10-21;2017-10-22;2017-10-23;2017-10-24;2017-10-25;2017-10-26;2017-10-27;2017-10-28;2017-10-29;2017-10-30;2017-10-31,28,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,6,386,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_oct2017_quality.json
2017-11,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,386,2017-11-05,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_nov2017_quality.json
2017-12,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,436,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_dec2017_quality.json
2018-01,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,358,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jan2018_quality.json
2018-02,True,fixed_legacy,28,3:28;7:28,,56,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,347,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_feb2018_quality.json
2018-03,True,fixed_legacy,30,3:30;7:30,2018-03-11,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,361,2018-03-11,True,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_mar2018_quality.json
2018-04,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,372,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_apr2018_quality.json
2018-05,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,404,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_may2018_quality.json
2018-06,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,4,368,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jun2018_quality.json
2018-07,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,336,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jul2018_quality.json
2018-08,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,370,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_aug2018_quality.json
2018-09,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,353,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_sep2018_quality.json
2018-10,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,341,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_oct2018_quality.json
2018-11,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,381,2018-11-04,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_nov2018_quality.json
2018-12,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,368,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_dec2018_quality.json
