date,max_temp_f,min_temp_f,precip_in
2023-03-12,52.3,37.4,
2023-03-13,48,28.4,
2023-03-14,55.6,35,
2023-03-15,65.5,36,
2023-03-16,63,36.5,0.46
2023-03-17,51,29.7,
2023-03-18,44,26.2,
2023-03-19,48.2,18.7,
2023-03-20,60,34.5,
2023-03-21,62.2,42.8,0.48
2023-03-22,79.2,60.4,
2023-03-23,70,45,2.42
2023-03-24,47.3,40.6,0.16
2023-03-25,65.3,35.6,
2023-03-26,60.6,37,
2023-03-27,60,31.8,
2023-03-28,55.6,33,
2023-03-29,68.4,29.1,
2023-03-30,67.6,52.3,0.06
2023-03-31,77.2,55,
2023-04-01,64.8,41.2,
2023-04-02,79.5,40.8,
2023-04-03,88.2,56.5,
2023-04-04,82,69.8,
2023-04-05,72.7,36,
2023-04-06,62,35,
2023-04-07,69.4,36.5,
2023-04-08,73.6,31.5,
2023-04-09,75,35.6,
2023-04-10,77,49.6,0.26
2023-04-11,76.8,47,
2023-04-12,79,48.2,
2023-04-13,80,57.4,
2023-04-14,83.7,59.4,
2023-04-15,69.4,43,
2023-04-16,68.4,36.3,
2023-04-17,80.8,34.5,
2023-04-18,83,56.3,
2023-04-19,84,62.8,
2023-04-20,75.2,54.7,0.2
2023-04-21,69.6,41.4,
2023-04-22,53.4,43.2,
2023-04-23,64.8,34.2,
2023-04-24,66.7,32.2,
2023-04-25,52.7,47.3,2.82
2023-04-26,55,49,1.42
2023-04-27,58,50.5,0.32
2023-04-28,59.2,47.8,0.12
2023-04-29,69.6,46.6,0.02
2023-04-30,68.4,43.5,
2023-05-01,68.4,40.5,
2023-05-02,74,43.2,
2023-05-03,75.2,40.8,
2023-05-04,61.2,53.2,1.16
2023-05-05,80,57,
2023-05-06,89.8,69.8,
2023-05-07,86,65.3,
2023-05-08,87.4,65.5,
2023-05-09,87.3,66.2,0.8
2023-05-10,82,62.6,
2023-05-11,75.2,64.4,1.02
