month,usd_gal,fuel_50l,hourly_wage,fwh,umcsent
2024-10,3.137,41.43540594017556,35.46,1.168511165825594,70.5
2024-11,3.05275,40.32258064516129,35.6,1.1326567596955417,71.8
2024-12,3.0176,39.858298044333374,35.69,1.1167917636406102,74.0
2025-01,3.0755,40.62307649633725,35.84,1.1334563754558382,71.7
2025-02,3.12075,41.22076604647845,35.94,1.1469328337918323,64.7
2025-03,3.0964,40.89913642115384,36.11,1.1326263201648807,57.0
2025-04,3.17125,41.887800793044875,36.12,1.159684407337898,52.2
2025-05,3.15,41.60711785513326,36.28,1.1468334579694945,52.2
2025-06,3.1502,41.60975957690184,36.36,1.1443828266474654,60.7
2025-07,3.12475,41.273600481850046,36.47,1.1317137505305743,61.7
2025-08,3.1325,41.37596720038252,36.62,1.1298734899066774,58.2
2025-09,3.1656,41.81317215308249,36.7,1.1393234919096045,55.1
2025-10,3.05975,40.41504090706158,36.85,1.0967446650491608,53.6
2025-11,3.0495,40.27965266642187,37.0,1.0886392612546452,51.0
2025-12,2.8944,38.23099743488816,37.02,1.032711978251976,52.9
2026-01,2.8085,37.0963779352831,37.15,0.9985566066025061,56.4
2026-02,2.9074999999999998,38.40403021073014,37.27,1.030427427172797,56.6
2026-03,3.6376,48.04763552693103,37.35,1.2864159444961454,53.3
2026-04,4.1025,54.18831777799498,37.41,1.4484982031006413,49.8
2026-05,4.47925,59.16466115955735,37.49,1.578145136291207,44.8
2026-06,4.0496,53.48958237020561,37.59,1.4229737262624529,49.5
2026-07,3.9322500000000002,51.93955212249136,37.65,1.3795365769586019,55.2
2026-08,4.058,53.60053468448596,37.75,1.4198817134963166,
