date,direction,day_total_veh,hours_present,hours_missing
2015-10-13,3,3158,24,0
2015-10-13,7,3192,24,0
2015-10-14,3,3204,24,0
2015-10-14,7,3161,24,0
2015-10-15,3,3388,24,0
2015-10-15,7,3388,24,0
2015-10-16,3,3348,24,0
2015-10-16,7,3322,24,0
2015-10-17,3,2976,24,0
2015-10-17,7,3046,24,0
2015-10-18,3,2258,24,0
2015-10-18,7,2284,24,0
2015-10-19,3,3141,24,0
2015-10-19,7,3190,24,0
2015-10-20,3,3239,24,0
2015-10-20,7,3249,24,0
2015-10-21,3,3316,24,0
2015-10-21,7,3325,24,0
2015-10-22,3,3205,24,0
2015-10-22,7,3158,24,0
2015-10-23,3,3443,24,0
2015-10-23,7,3474,24,0
2015-10-24,3,2844,24,0
2015-10-24,7,2827,24,0
2015-10-25,3,2126,24,0
2015-10-25,7,2191,24,0
2015-10-26,3,2997,24,0
2015-10-26,7,3057,24,0
2015-10-27,3,3155,24,0
2015-10-27,7,3162,24,0
2015-10-28,3,3128,24,0
2015-10-28,7,3124,24,0
2015-10-29,3,3257,24,0
2015-10-29,7,3329,24,0
2015-10-30,3,3242,24,0
2015-10-30,7,3205,24,0
2015-10-31,3,2523,24,0
2015-10-31,7,2538,24,0
2015-11-01,3,2205,24,0
2015-11-01,7,2246,24,0
2015-11-02,3,3080,24,0
2015-11-02,7,3088,24,0
2015-11-03,3,3306,24,0
2015-11-03,7,3365,24,0
2015-11-04,3,3280,24,0
2015-11-04,7,3307,24,0
2015-11-05,3,3188,24,0
2015-11-05,7,3192,24,0
2015-11-06,3,3659,24,0
2015-11-06,7,3597,24,0
2015-11-07,3,3046,24,0
2015-11-07,7,3088,24,0
2015-11-08,3,2188,24,0
2015-11-08,7,2239,24,0
2015-11-09,3,3226,24,0
2015-11-09,7,3252,24,0
2015-11-10,3,3313,24,0
2015-11-10,7,3361,24,0
2015-11-11,3,3147,24,0
2015-11-11,7,3088,24,0
2015-11-12,3,3298,24,0
2015-11-12,7,3344,24,0
2015-11-13,3,3844,24,0
2015-11-13,7,3835,24,0
2015-11-14,3,3011,24,0
2015-11-14,7,2986,24,0
2015-11-15,3,2116,24,0
2015-11-15,7,2205,24,0
2015-11-16,3,3025,24,0
2015-11-16,7,3120,24,0
2015-11-17,3,3120,24,0
2015-11-17,7,3095,24,0
2015-11-18,3,3206,24,0
